Average,BDL,21,129,234,Clear,,08.03.14
Average,BDL,9,212,476,Clear,,08.05.14
Average,BDL,9,230,512,Clear,,08.06.14
Average,BDL,18,243,402,Clear,,08.07.14
Average,BDL,BDL,33,84,Clear,,08.09.14
Average,BDL,BDL,119,302,Clear,,08.10.2014
Average,BDL,45,243,493,Clear,,08.11.2014
Average,BDL,34,324,449,Clear,,08.12.2014
Average,BDL,12,274,404,Clear,,09.01.14
Average,BDL,BDL,163,214,Clear,,09.02.14
Average,BDL,BDL,133,257,Clear,,09.03.14
Average,BDL,11,127,228,Clear,,09.04.14
Average,BDL,12,172,363,Clear,,09.06.14
Average,BDL,16,154,431,Clear,,09.07.14
Average,BDL,BDL,23,51,Partially,,09.08.14
Average,BDL,9,53,100,Clear,,09.09.14
Average,BDL,15,162,262,Clear,,09.10.2014
Average,BDL,28,314,568,Clear,,09.11.2014
Average,BDL,12,139,202,Clear,,10.02.14
Average,BDL,11,78,208,Clear,,10.03.14
Average,BDL,28,229,310,Clear,,10.04.14
Average,BDL,BDL,135,364,Clear,,10.05.14
Average,BDL,13,234,447,Clear,,10.07.14
Average,BDL,BDL,33,56,Partially,,10.08.14
Average,BDL,BDL,36,76,Partially,,10.09.14
Average,BDL,46,341,618,Clear,,10.11.2014
Average,BDL,27,315,422,Clear,,10.12.2014
Average,BDL,20,199,363,Clear &,,11.01.14
Average,BDL,12,186,269,Clear,,11.02.14
Average,BDL,BDL,54,113,Partially,,11.03.14
Average,BDL,9,144,255,Clear,,11.05.14
Average,BDL,BDL,191,553,Clear,,11.06.14
Average,BDL,BDL,28,78,Cloudy,,11.08.14
Average,BDL,9,26,55,Cloudy,,11.09.14
Average,4,11,173,315,Clear,,11.10.2014
Average,BDL,18,346,569,Clear,,11.11.2014
Average,BDL,33,315,412,Clear,,11.12.2014
Average,BDL,20,231,297,Clear &,,12.01.14
Average,BDL,24,189,306,Clear,,12.02.14
Average,BDL,9,68,126,Partially,,12.03.14
Average,BDL,BDL,125,360,Clear,,12.04.14
Average,BDL,BDL,86,241,Clear,,12.05.14
Average,BDL,BDL,126,462,Partially,,12.06.14
Average,BDL,12,103,316,Clear,,12.07.14
Average,4,9,30,55,Cloudy,,12.08.14
Average,BDL,BDL,148,269,Clear,,12.10.2014
Average,BDL,26,375,595,Clear,,12.11.2014
Average,BDL,15,194,314,Partially,,13.01.14
Average,BDL,13,143,193,Partially,,13.02.14
Average,BDL,BDL,89,224,Clear,,13.05.14
Average,BDL,10,75,185,Partially,,13.07.14
Average,4,BDL,21,62,Partially,,13.08.14
Average,BDL,BDL,80,126,Clear,,13.09.14
Average,BDL,10,55,146,Cloudy,,13.10.2014
Average,BDL,24,480,614,Clear,,13.11.2014
Average,BDL,15,117,167,Cloudy &,,13.12.2014
Average,BDL,BDL,84,228,Partially,,14.06.14
Average,BDL,BDL,70,97,Partially,,14.07.14
Average,BDL,BDL,23,72,Partially,,14.08.14
Average,4,13,57,127,Clear,,14.09.14
Average,BDL,BDL,29,58,Cloudy,,14.10.2014
Average,BDL,15,105,134,Cloudy,,14.12.2014
Average,BDL,11,198,273,Cloudy &,,15.01.14
Average,5,14,114,173,Partially,,15.02.14
Average,BDL,9,136,272,Clear,,15.03.14
Average,BDL,10,99,239,Clear,,15.05.14
Average,BDL,9,73,223,Partially,,15.06.14
Average,BDL,BDL,42,92,Partially,,15.07.14
Average,BDL,13,86,163,Clear,,15.09.14
Average,BDL,14,82,121,Cloudy,,15.10.2014
Average,4,27,303,500,Clear,,15.11.2014
Average,BDL,10,87,232,Cloudy,,15.12.2014
Average,BDL,16,293,465,Cloudy &,,16.01.14
Average,BDL,9,149,220,Partially,,16.02.14
Average,BDL,13,110,261,Clear,,16.03.14
Average,BDL,16,127,222,Partial,,16.04.14
Average,BDL,BDL,79,225,Partially,,16.06.14
Average,BDL,BDL,87,109,Partially,,16.07.14
Average,BDL,9,28,116,Partially,,16.08.14
Average,BDL,17,83,201,Clear,,16.09.14
Average,5,16,147,244,Partially,,16.10.2014
Average,BDL,39,245,410,Clear,,16.11.2014
Average,BDL,17,160,226,Partially,,16.12.2014
Average,BDL,12,118,231,Clear,,17.02.14
Average,BDL,BDL,134,307,Partial,,17.04.14
Average,BDL,13,173,332,Clear,,17.05.14
Average,BDL,BDL,77,221,Clear,,17.06.14
Average,BDL,10,36,74,Cloudy &,,17.07.14
Average,BDL,11,48,151,Clear,,17.08.14
Average,BDL,BDL,81,169,Clear,,17.09.14
Average,4,30,281,462,Clear,,17.11.2014
Average,BDL,24,213,292,Clear,,17.12.2014
Average,BDL,17,175,240,Cloudy &,,18.01.14
Average,4,11,235,334,Clear,,18.02.14
Average,BDL,9,116,286,Clear,,18.03.14
Average,BDL,BDL,82,282,Partially,,18.06.14
Average,BDL,12,123,193,Clear,,18.09.14
Average,BDL,18,203,327,Clear,,18.10.2014
Average,5,29,354,484,Clear,,18.11.2014
Average,BDL,24,289,354,Clear,,18.12.2014
Average,BDL,19,152,189,Cloudy,,19.01.14
Average,BDL,16,192,276,Clear,,19.02.14
Average,BDL,13,92,236,Clear,,19.03.14
Average,BDL,14,199,353,Clear,,19.05.14
Average,BDL,BDL,63,249,Clear,,19.06.14
Average,BDL,BDL,57,91,Cloudy,,19.07.14
Average,BDL,11,81,205,Clear,,19.08.14
Average,BDL,18,193,292,Clear,,19.10.2014
Average,BDL,9,306,454,Clear,,19.11.2014
Average,BDL,12,207,269,Clear,,20.02.14
Average,4,9,123,-,Clear,,20.03.14
Average,BDL,9,112,192,Clear,,20.04.14
Average,BDL,20,201,432,Clear,,20.05.14
Average,BDL,BDL,62,131,Partially,,20.07.14
Average,BDL,BDL,86,286,Clear,,20.08.14
Average,BDL,11,130,224,Clear,,20.09.14
Average,10,25,275,433,Clear,,20.10.2014
Average,5,33,308,482,Clear,,20.11.2014
Average,BDL,29,344,440,Partially,,20.12.2014
Average,BDL,14,77,114,Cloudy &,,21.01.14
Average,BDL,16,147,189,Clear,,21.04.14
Average,BDL,11,180,395,Clear,,21.05.14
Average,BDL,BDL,131,342,Clear,,21.06.14
Average,BDL,BDL,80,127,Partially,,21.07.14
Average,BDL,BDL,76,219,Clear,,21.08.14
Average,BDL,10,148,213,Clear,,21.09.14
Average,BDL,28,224,379,Clear,,21.10.2014
Average,BDL,12,239,309,Partially,,21.12.2014
Average,BDL,BDL,68,95,Cloudy &,,22.01.14
Average,BDL,16,99,136,Partially,,22.02.14
Average,BDL,10,111,272,Clear,,22.03.14
Average,11,11,156,374,Clear &,,22.04.14
Average,BDL,14,165,317,Clear,,22.05.14
Average,BDL,10,113,341,Partially,,22.06.14
Average,BDL,BDL,46,88,Partially,,22.07.14
Average,5,BDL,113,177,Clear,,22.09.14
Average,BDL,17,197,357,Clear,,22.10.2014
Average,9,36,309,494,Clear,,22.11.2014
Average,BDL,14,211,288,Partially,,22.12.2014
Average,BDL,14,92,121,Cloudy,,23.01.14
Average,BDL,13,161,238,Clear,,23.02.14
Average,BDL,BDL,124,238,Clear,,23.03.14
Average,BDL,16,111,135,Clear,,23.04.14
Average,BDL,11,129,399,Partially,,23.06.14
Average,7,BDL,45,90,Cloudy,,23.07.14
Average,BDL,15,123,241,Clear,,23.08.14
Average,BDL,BDL,131,201,Clear,,23.09.14
Average,BDL,16,191,275,Clear,,23.10.2014
Average,4,47,383,536,Clear,,23.11.2014
Average,BDL,16,279,334,Partially,,23.12.2014
Average,BDL,16,157,233,Clear,,24.02.14
Average,BDL,BDL,65,175,Clear,,24.03.14
Average,BDL,BDL,158,459,Clear,,24.05.14
Average,BDL,15,98,323,Partially,,24.06.14
Average,BDL,BDL,23,58,Partially,,24.07.14
Average,BDL,11,71,210,Clear,,24.08.14
Average,BDL,10,113,183,Clear,,24.09.14
Average,12,59,290,456,Clear,,24.11.2014
Average,BDL,14,315,400,Clear,,24.12.2014
Average,BDL,15,157,269,Clear &,,25.01.14
Average,BDL,18,164,238,Partially,,25.02.14
Average,BDL,BDL,115,146,Clear,,25.03.14
Average,BDL,BDL,78,225,Clear,,25.05.14
Average,4,BDL,104,288,Clear,,25.06.14
Average,BDL,10,80,179,Clear,,25.08.14
Average,BDL,9,102,174,Clear,,25.09.14
Average,BDL,11,158,267,Clear,,25.10.2014
Average,BDL,28,261,379,Clear,,25.11.2014
Average,BDL,BDL,93,140,Clear &,,26.02.14
Average,BDL,10,101,261,Clear,,26.03.14
Average,BDL,11,222,443,Clear,,26.04.14
Average,BDL,9,99,236,Clear,,26.05.14
Average,BDL,BDL,36,85,Partially,,26.07.14
Average,BDL,BDL,70,209,Clear,,26.08.14
Average,BDL,10,144,210,Clear,,26.10.2014
Average,6,38,234,415,Clear,,26.11.2014
Average,BDL,20,185,260,Clear,,27.01.14
Average,BDL,10,65,97,Partially,,27.03.14
Average,BDL,17,136,281,Clear,,27.04.14
Average,BDL,BDL,78,179,Clear,,27.05.14
Average,BDL,BDL,41,86,Cloudy &,,27.07.14
Average,BDL,12,112,175,Clear,,27.09.14
Average,BDL,15,146,259,Clear,,27.10.2014
Average,BDL,21,204,369,Clear,,27.11.2014
Average,5,30,405,558,Clear,,27.12.2014
Average,BDL,14,199,258,Clear,,28.01.14
Average,BDL,19,176,413,Clear,,28.04.14
Average,BDL,BDL,155,325,Clear,,28.05.14
Average,BDL,BDL,131,254,Clear,,28.06.14
Average,BDL,BDL,24,38,Cloudy &,,28.07.14
Average,BDL,14,118,218,Clear,,28.09.14
Average,BDL,14,143,413,Clear,,28.10.2014
Average,BDL,9,431,528,Partially,,28.12.2014
Average,BDL,11,196,222,Clear,,29.01.14
Average,BDL,BDL,148,264,Partial,,29.03.14
Average,6,15,168,352,Clear,,29.04.14
Average,BDL,20,185,360,Clear,,29.05.14
Average,BDL,9,148,477,Clear,,29.06.14
Average,BDL,26,224,469,Clear,,29.10.2014
Average,4,40,228,422,Clear,,29.11.2014
Average,BDL,12,145,209,Partially,,30.01.14
Average,BDL,9,95,210,Clear,,30.03.14
Average,BDL,26,150,334,Clear,,30.04.14
Average,BDL,BDL,219,709,Clear,,30.06.14
Average,BDL,BDL,37,61,Partially,,30.07.14
Average,BDL,9,57,104,Clear,,30.08.14
Average,BDL,27,234,400,Clear,,30.10.2014
Average,5,31,254,485,Clear,,30.11.2014
Average,BDL,18,196,260,Partially,,30.12.2014
Average,BDL,14,172,248,Clear,,31.03.14
Average,BDL,BDL,186,609,Partially,,31.05.14
Average,BDL,BDL,53,96,Clear,,31.08.14
Average,BDL,9,205,409,Partially,,31.12.2014
